-0.019909, -0.019909, 0.019909, 0.019909;
-0.0198872, -0.0198872, 0.0198873, 0.0198873;
-0.0197594, -0.0197594, 0.0197609, 0.0197609;
-0.0195193, -0.0195193, 0.0195252, 0.0195252;
-0.0191611, -0.0191611, 0.0191757, 0.0191757;
-0.018679, -0.018679, 0.0187082, 0.0187082;
-0.0180676, -0.0180676, 0.0181191, 0.0181191;
-0.0173217, -0.0173217, 0.0174049, 0.0174049;
-0.0164369, -0.0164369, 0.0165628, 0.0165628;
-0.0154088, -0.0154088, 0.0155904, 0.0155904;
-0.014234, -0.014234, 0.0144857, 0.0144857;
-0.0129094, -0.0129094, 0.0132475, 0.0132475;
-0.0114327, -0.0114327, 0.011875, 0.011875;
-0.00980225, -0.00980225, 0.0103681, 0.0103681;
-0.00801708, -0.00801708, 0.00872731, 0.00872731;
-0.00607712, -0.00607712, 0.0069539, 0.0069539;
-0.00398312, -0.00398312, 0.00504986, 0.00504986;
-0.00173675, -0.00173675, 0.00301798, 0.00301798;
0.000659408, 0.000659408, 0.000861825, 0.000861825;
0.00320176, 0.00320176, -0.00141419, -0.00141419;
0.00588567, 0.00588567, -0.0038048, -0.0038048;
0.00870546, 0.00870546, -0.00630386, -0.00630386;
0.0116543, 0.0116543, -0.00890434, -0.00890434;
0.0147243, 0.0147243, -0.0115983, -0.0115983;
0.0179063, 0.0179063, -0.0143768, -0.0143768;
0.02119, 0.02119, -0.0172302, -0.0172302;
0.0245639, 0.0245639, -0.0201478, -0.0201478;
0.0280153, 0.0280153, -0.0231178, -0.0231178;
0.0315302, 0.0315302, -0.0261279, -0.0261279;
0.0350936, 0.0350936, -0.0291646, -0.0291646;
0.0386889, 0.0386889, -0.0322138, -0.0322138;
0.0422987, 0.0422987, -0.0352602, -0.0352602;
0.0459043, 0.0459043, -0.0382882, -0.0382882;
0.0494859, 0.0494859, -0.0412811, -0.0412811;
0.0530225, 0.0530225, -0.0442215, -0.0442215;
0.0564925, 0.0564925, -0.0470915, -0.0470915;
0.0598727, 0.0598727, -0.0498727, -0.0498727;
0.0631397, 0.0631397, -0.0525459, -0.0525459;
0.0662687, 0.0662687, -0.0550916, -0.0550916;
0.0692347, 0.0692347, -0.05749, -0.05749;
0.0720118, 0.0720118, -0.0597209, -0.0597209;
0.0745735, 0.0745735, -0.0617639, -0.0617639;
0.0768933, 0.0768933, -0.0635985, -0.0635985;
0.078944, 0.078944, -0.0652041, -0.0652041;
0.0806988, 0.0806988, -0.06656, -0.06656;
0.0821306, 0.0821306, -0.0676457, -0.0676457;
0.0832131, 0.0832131, -0.0684405, -0.0684405;
0.0839207, 0.0839207, -0.0689237, -0.0689237;
0.0842292, 0.0842292, -0.069075, -0.069075;
0.0841155, 0.0841155, -0.0688742, -0.0688742;
0.0835571, 0.0835571, -0.068302, -0.068302;
0.0825321, 0.0825321, -0.0673405, -0.0673405;
0.0810188, 0.0810188, -0.0659733, -0.0659733;
0.0789962, 0.0789962, -0.0641857, -0.0641857;
0.0764446, 0.0764446, -0.0619646, -0.0619646;
0.0733458, 0.0733458, -0.0592988, -0.0592988;
0.0696832, 0.0696832, -0.0561787, -0.0561787;
0.0654428, 0.0654428, -0.0525968, -0.0525968;
0.0606128, 0.0606128, -0.0485476, -0.0485476;
0.055184, 0.055184, -0.0440281, -0.0440281;
0.0491504, 0.0491504, -0.0390374, -0.0390374;
0.0425089, 0.0425089, -0.0335775, -0.0335775;
0.0352605, 0.0352605, -0.027653, -0.027653;
0.0274095, 0.0274095, -0.0212717, -0.0212717;
0.0189646, 0.0189646, -0.0144443, -0.0144443;
0.00993903, 0.00993903, -0.00718475, -0.00718475;
0.000350581, 0.000350581, 0.000489437, 0.000489437;
-0.00977795, -0.00977795, 0.00855738, 0.00855738;
-0.0204186, -0.0204186, 0.0169946, 0.0169946;
-0.0315382, -0.0315382, 0.025773, 0.025773;
-0.0430981, -0.0430981, 0.0348607, 0.0348607;
-0.0550541, -0.0550541, 0.0442223, 0.0442223;
-0.0673569, -0.0673569, 0.0538188, 0.0538188;
-0.0799517, -0.0799517, 0.0636076, 0.0636076;
-0.0927786, -0.0927786, 0.0735426, 0.0735426;
-0.105773, -0.105773, 0.0835746, 0.0835746;
-0.118866, -0.118866, 0.0936515, 0.0936515;
-0.131985, -0.131985, 0.103718, 0.103718;
-0.145052, -0.145052, 0.113717, 0.113717;
-0.157988, -0.157988, 0.123588, 0.123588;
-0.170712, -0.170712, 0.133269, 0.133269;
-0.183138, -0.183138, 0.142699, 0.142699;
-0.195182, -0.195182, 0.151811, 0.151811;
-0.206758, -0.206758, 0.160542, 0.160542;
-0.217779, -0.217779, 0.168825, 0.168825;
-0.228161, -0.228161, 0.176595, 0.176595;
-0.237817, -0.237817, 0.183787, 0.183787;
-0.246665, -0.246665, 0.190336, 0.190336;
-0.254624, -0.254624, 0.19618, 0.19618;
-0.261614, -0.261614, 0.201255, 0.201255;
-0.267558, -0.267558, 0.205502, 0.205502;
-0.272384, -0.272384, 0.208863, 0.208863;
-0.276022, -0.276022, 0.21128, 0.21128;
-0.278405, -0.278405, 0.212703, 0.212703;
-0.27947, -0.27947, 0.21309, 0.21309;
-0.279141, -0.279141, 0.212407, 0.212407;
-0.277348, -0.277348, 0.21062, 0.21062;
-0.274039, -0.274039, 0.207692, 0.207692;
-0.269171, -0.269171, 0.20359, 0.20359;
