-0.0323386, -0.00237922, 0.328963, -0.0912165;
-0.0330066, -0.00221919, 0.328778, -0.0913303;
-0.0337116, -0.00211327, 0.32858, -0.0925976;
-0.0344737, -0.00203124, 0.328428, -0.0941325;
-0.0352731, -0.00195738, 0.328332, -0.0962149;
-0.0361361, -0.00191034, 0.328284, -0.0980325;
-0.0370478, -0.00187242, 0.328229, -0.100072;
-0.0379823, -0.00185162, 0.328223, -0.102892;
-0.0389049, -0.00184253, 0.328127, -0.105597;
-0.0398388, -0.0018048, 0.327974, -0.106649;
-0.0408272, -0.00175221, 0.327796, -0.10644;
-0.0417003, -0.00169999, 0.327648, -0.106433;
-0.0425296, -0.00161465, 0.327515, -0.105595;
-0.043218, -0.00149572, 0.32741, -0.105486;
-0.0437165, -0.0013701, 0.327242, -0.106028;
-0.0439375, -0.00125805, 0.32703, -0.107368;
-0.0438829, -0.00117536, 0.326981, -0.108692;
-0.0440867, -0.0010902, 0.32729, -0.103718;
-0.044182, -0.000995999, 0.328017, -0.0991272;
-0.0439553, -0.000933121, 0.328859, -0.0959255;
-0.043307, -0.000912467, 0.329856, -0.0937022;
-0.0425727, -0.000949363, 0.331103, -0.0882218;
-0.0415944, -0.00114369, 0.332385, -0.0849387;
-0.0401846, -0.00137901, 0.333976, -0.0815442;
-0.0384787, -0.00160223, 0.335701, -0.0767098;
-0.0367086, -0.00179527, 0.337605, -0.0706333;
-0.0345849, -0.00204652, 0.339922, -0.0645831;
-0.0321202, -0.00234456, 0.342265, -0.0592944;
-0.0294277, -0.00262368, 0.344525, -0.0551563;
-0.0264268, -0.002993, 0.346707, -0.0519193;
-0.0230767, -0.0033404, 0.348646, -0.0516065;
-0.0195964, -0.00361649, 0.350492, -0.0496479;
-0.0158847, -0.0038031, 0.352226, -0.0495248;
-0.0119619, -0.00395059, 0.354013, -0.0481626;
-0.00782052, -0.00412096, 0.355748, -0.0474543;
-0.00357444, -0.00430343, 0.357356, -0.0467682;
0.000695691, -0.00451407, 0.358818, -0.0461984;
0.00504948, -0.00471479, 0.360139, -0.0462117;
0.00946507, -0.00489727, 0.361283, -0.0463479;
0.0138668, -0.00506811, 0.362196, -0.0465586;
0.0181992, -0.00524305, 0.362878, -0.046565;
0.0224613, -0.00541798, 0.36334, -0.0464685;
0.0266709, -0.0055915, 0.363603, -0.0463609;
0.0308485, -0.0057657, 0.363675, -0.0462979;
0.0350233, -0.00594049, 0.363557, -0.0463206;
0.0392022, -0.00611529, 0.363247, -0.0464772;
0.0433952, -0.00629059, 0.362734, -0.0467064;
0.0476481, -0.00640649, 0.362247, -0.0454895;
0.0519256, -0.00641026, 0.36184, -0.0424152;
0.0561516, -0.00636079, 0.361328, -0.0388915;
0.0603879, -0.00626463, 0.360811, -0.0343145;
0.0645461, -0.00611802, 0.360172, -0.0288556;
0.068631, -0.00596679, 0.359307, -0.0235496;
0.0727038, -0.00583272, 0.358184, -0.0184314;
0.0768014, -0.00570898, 0.356803, -0.0134187;
0.0809436, -0.00558781, 0.355166, -0.00844639;
0.0851276, -0.0054657, 0.353271, -0.00345899;
0.0893434, -0.00534098, 0.351114, 0.00156849;
0.0935783, -0.00521458, 0.348691, 0.00663431;
0.0978793, -0.00522382, 0.346416, 0.0149269;
0.10217, -0.00541244, 0.344364, 0.0265727;
0.106469, -0.00574552, 0.342402, 0.0404866;
0.110654, -0.0061119, 0.340224, 0.0546715;
0.113576, -0.00638902, 0.339297, 0.0648746;
0.115642, -0.00658542, 0.339449, 0.0684871;
0.117496, -0.0067507, 0.340048, 0.0675656;
0.119638, -0.00691583, 0.340642, 0.0635301;
0.122116, -0.00707977, 0.341222, 0.0551937;
0.124857, -0.00724679, 0.341798, 0.0417407;
0.127607, -0.00736267, 0.342286, 0.0269033;
0.130362, -0.00746703, 0.342829, 0.00740666;
0.133142, -0.00755322, 0.343086, -0.0125006;
0.135957, -0.00766587, 0.343041, -0.0342769;
0.138755, -0.00780988, 0.342618, -0.0555668;
0.1415, -0.00795463, 0.341825, -0.0761154;
0.144157, -0.00808374, 0.340714, -0.0960043;
0.146729, -0.00819424, 0.339363, -0.115799;
0.1493, -0.00830415, 0.337781, -0.1354;
0.151907, -0.00841836, 0.335962, -0.155029;
0.154566, -0.00853885, 0.333903, -0.174885;
0.157269, -0.0086639, 0.331607, -0.195057;
0.160012, -0.00878965, 0.329074, -0.21548;
0.162778, -0.00891541, 0.326306, -0.236013;
0.16555, -0.009041, 0.3233, -0.256502;
0.168308, -0.00916298, 0.320075, -0.276958;
0.171053, -0.00928214, 0.316629, -0.297208;
0.173791, -0.00940193, 0.312974, -0.317243;
0.17652, -0.00951977, 0.309119, -0.337092;
0.179237, -0.00963971, 0.305058, -0.356751;
0.181947, -0.00976037, 0.300794, -0.376242;
0.184655, -0.00988229, 0.296318, -0.395515;
0.187012, -0.00999244, 0.291841, -0.411036;
0.189021, -0.0100857, 0.287563, -0.424289;
0.190749, -0.0101645, 0.283612, -0.435022;
0.192143, -0.0102302, 0.280098, -0.442784;
0.193298, -0.0102361, 0.277048, -0.448342;
0.194448, -0.0101339, 0.276428, -0.446884;
0.196211, -0.0100722, 0.277723, -0.441756;
0.198398, -0.00994158, 0.280151, -0.435475;
0.200861, -0.00988391, 0.283126, -0.431024;
